date,cash,shares,close,equity,position_ratio,ma5,ma17,diff,dea,macd_hist,action,reason
2025-08-20,114079.53332000013,0,0.415,114079.53332000013,0.0,0.4151999999999999,0.41305882352941176,0.007084666141114415,0.008014865016608374,-0.0018603977509879174,,
2025-08-21,114079.53332000013,0,0.42,114079.53332000013,0.0,0.4162,0.413,0.007184500279104944,0.007848792069107689,-0.0013285835800054893,,
2025-08-22,114079.53332000013,0,0.424,114079.53332000013,0.0,0.4176,0.413,0.00749993158061768,0.007779019971409688,-0.000558176781584015,,
2025-08-25,114079.53332000013,0,0.434,114079.53332000013,0.0,0.42079999999999995,0.41405882352941176,0.008459315858661887,0.007915079148860128,0.0010884734196035181,,
2025-08-26,114079.53332000013,0,0.429,114079.53332000013,0.0,0.4244,0.4152352941176471,0.008715707348768753,0.008075204788841852,0.0012810051198538022,,
2025-08-27,114079.53332000013,0,0.42,114079.53332000013,0.0,0.42539999999999994,0.4158823529411765,0.008099310854137176,0.008080026001900917,3.856970447251723e-05,,
2025-08-28,114079.53332000013,0,0.419,114079.53332000013,0.0,0.42519999999999997,0.41635294117647054,0.007444307209008294,0.007952882243322393,-0.0010171500686281983,,
2025-08-29,57041.12693000014,132300,0.431,114062.42693000013,0.49991308737445894,0.4266,0.4175882352941176,0.007803557262437144,0.007923017247145343,-0.00023891996941639848,BUY_HALF,低位MACD且上穿MA5
2025-09-01,25.227290000133507,260100,0.446,116029.82729000013,0.9997825792678543,0.429,0.4198823529411765,0.00919267274860014,0.008176948347436304,0.0020314488023276712,BUY_FULL,次日仍站上MA5
2025-09-02,25.227290000133507,260100,0.448,116550.02729000014,0.9997835496860299,0.4328,0.4223529411764706,0.010335795448601248,0.008608717767669293,0.003454155361863911,,
2025-09-03,25.227290000133507,260100,0.447,116289.92729000014,0.9997830655621855,0.4382,0.42470588235294116,0.011033845479102466,0.009093743309955929,0.003880204338293076,,
2025-09-04,25.227290000133507,260100,0.431,112128.32729000013,0.9997750141234615,0.4406,0.42605882352941177,0.010178655668479697,0.009310725781660683,0.001735859773638028,,
2025-09-05,25.227290000133507,260100,0.446,116029.82729000013,0.9997825792678543,0.4436,0.42770588235294116,0.010589220282168688,0.009566424681762284,0.0020455912008128067,,
2025-09-08,25.227290000133507,260100,0.456,118630.82729000013,0.9997873462524336,0.44559999999999994,0.43011764705882355,0.011587933637256409,0.009970726472861109,0.0032344143287906003,,
2025-09-09,25.227290000133507,260100,0.445,115769.72729000013,0.9997820907884067,0.445,0.43176470588235294,0.011360852264322208,0.010248751631153328,0.0022242012663377594,,
2025-09-10,25.227290000133507,260100,0.443,115249.52729000014,0.9997811072149853,0.44420000000000004,0.43323529411764705,0.010893926946333066,0.010377786694189275,0.0010322805042875804,,
